Carimbo de data/hora,1. Gênero,2. Faixa Etária,3. Escolaridade (Nível mais elevado concluído ou em curso),4. Área Científica/de Formação,5. Tipo de Instituição de Ensino Superior (IES) em que atua,6. Tempo de Docência,"7. Avalie o seu nível de familiaridade com ferramentas virtuais (EaD, Redes Sociais, Aplicativos de modo geral)","8. Você já utilizou alguma plataforma de Inteligência Artificial Generativa (IAG) anteriormente (ex: ChatGPT, Gemini, Copilot)?",9. Qual o nível de dificuldade que enfrentou no uso de ferramentas de IA?,10. Participação em cursos de formação sobre o uso de IA:,11. Autoavaliação do nível de conhecimento em IA (em relação aos colegas):,12. Qual a frequência de utilização da IA na sua prática pedagógica?,13. Como você considera a inserção da Inteligência Artificial Generativa (IAG) na prática pedagógica?,14. Impactos das ferramentas de IA no trabalho diário:,15. Você considera que as tecnologias em geral:,16. Qual a principal finalidade de uso da IA no seu planejamento docente?,17. Como a IA poderia ser inserida em sua prática pedagógica? (Dê um exemplo),18. Expectativas quanto ao aumento do uso da IA no Ensino Superior nos próximos anos:,19. Você acredita que os sistemas de IA:,"20. Na sua opinião, com o advento da IA, o professor humano continuará sendo indispensável para:",21. Enfrentamento de dilemas éticos no uso de IA:,"22. Qual é a frequência de uso da IA pelos estudantes, na sua percepção?",23. Qual a sua opinião sobre a regulamentação do uso de IA pela instituição de ensino?
16/03/2026 15:48:28,Feminino,31 a 40 anos,Doutorado,Engenharia de Produção,Pública,De 5 a 10 anos,4,Sim,Muita,"Sim, mas gostaria de participar mais",Inferior ao da maioria dos colegas,Raramente,Indiferente,Não afetam de maneira significativa,Levam a um estudo superficial,Criação de bancos de questões e exercícios para provas,Com estudos de casos.,Aumentará de forma significativa,"Vão alterar muito o perfil de competências dos professores, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, mas é administrável",A maioria utiliza algumas vezes por semana,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
16/03/2026 18:53:00,Masculino,41 a 50 anos,Doutorado,Administração/Psicologia/Saúde Coletiva,Pública,De 11 a 20 anos,4,Sim,Pouca,"Não, mas gostaria de participar",Superior ao da maioria dos colegas,Com frequência,Oportuna,Facilitam o trabalho,"Obrigam o professor a atualizar-se, São desafios para o professor, Melhoram o trabalho do professor, Levam a um estudo superficial","Elaboração de materiais didáticos (slides, textos de apoio, resumos), Criação de bancos de questões e exercícios para provas, Para tarefas administrativas e burocráticas (e-mails, relatórios)","IAG é uma IA específica ou foi erro de digitação. Uso IA no treino, no controle de água, na avaliação de alimentos, na pesquisa, na produção textual. Na elaboração de questões. Na organização de material de estudo. Ainda estou compreendendo outras aplicações.",Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão reduzir muito o emprego de rotina, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, é um problema recorrente",A maioria utiliza algumas vezes por semana,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
18/03/2026 16:09:43,Feminino,31 a 40 anos,Doutorado,Ciência da Computação,Pública,De 11 a 20 anos,5,Sim,Pouca,"Sim, várias vezes",Superior ao da maioria dos colegas,Com frequência,Muito oportuna,Facilitam o trabalho,"Obrigam o professor a atualizar-se, São desafios para o professor, Melhoram o trabalho do professor","Elaboração de materiais didáticos (slides, textos de apoio, resumos), Criação de bancos de questões e exercícios para provas, Auxílio na correção de trabalhos e elaboração de feedbacks, Para tarefas administrativas e burocráticas (e-mails, relatórios)",Auxiliar na identificação de perfis de aprendizado dos alunos de uma turma com base no engajamento em sala de aula e na participação nas atividades avaliativas.,Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão reduzir muito o emprego de rotina, Vão alterar muito o perfil de competências dos professores, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, é um problema recorrente",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
18/03/2026 16:18:54,Masculino,20 a 30 anos,Graduação,Ciência da Computação,Pública,Menos de 5 anos,4,Sim,Pouca,"Não, mas gostaria de participar",Superior ao da maioria dos colegas,Ocasionalmente,Muito oportuna,Facilitam o trabalho,"Obrigam o professor a atualizar-se, São desafios para o professor, Melhoram o trabalho do professor","Elaboração de materiais didáticos (slides, textos de apoio, resumos), Criação de bancos de questões e exercícios para provas, Auxílio na correção de trabalhos e elaboração de feedbacks, Para tarefas administrativas e burocráticas (e-mails, relatórios)","Gosto de utilizar para criação de atividades como quizzes interativos e exploração de exemplos de novos métodos pedagógicos.",Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão alterar muito o perfil de competências dos professores, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, mas é administrável",A maioria utiliza algumas vezes por semana,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
23/03/2026 12:22:18,Feminino,31 a 40 anos,Doutorado,Ciência da Computação,Pública,De 5 a 10 anos,5,Sim,Pouca,"Sim, mas gostaria de participar mais",No mesmo nível que a maioria dos colegas,Com frequência,Muito oportuna,Facilitam o trabalho,"Obrigam o professor a atualizar-se, Melhoram o trabalho do professor","Elaboração de materiais didáticos (slides, textos de apoio, resumos), Criação de bancos de questões e exercícios para provas, Para tarefas administrativas e burocráticas (e-mails, relatórios)",Ajudando na criação de resumos simples e quizzes.,Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão reduzir muito as aulas presenciais, Vão alterar muito o perfil de competências dos professores","Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver a capacidade de compreender a realidade","Sim, é um problema recorrente",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
24/03/2026 09:19:13,Feminino,51 a 60 anos,Pós-Doutorado,Ciência da Computação,Pública,Mais de 20 anos,5,Sim,Pouca,"Não, mas gostaria de participar",Superior ao da maioria dos colegas,Nunca,Pouco oportuna,Facilitam o trabalho,Obrigam o professor a atualizar-se,"Para tarefas administrativas e burocráticas (e-mails, relatórios)",Gerar exercícios.,Aumentará de forma significativa,Vão alterar muito o nosso modo de ensino,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, é um problema recorrente",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
24/03/2026 10:22:38,Masculino,41 a 50 anos,Pós-Doutorado,Física/Engenharia da Computação,Pública,De 11 a 20 anos,5,Sim,Pouca,"Não, e não gostaria de participar",No mesmo nível que a maioria dos colegas,Ocasionalmente,Oportuna,Aumentam a carga de trabalho,"Obrigam o professor a atualizar-se, São desafios para o professor, Melhoram o trabalho do professor, Levam a um estudo superficial","Elaboração de materiais didáticos (slides, textos de apoio, resumos)","Formulação de questões e exercícios, correção de respostas, informação, treinamento.",Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Não, nunca tive um problema ético com IA",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
25/03/2026 11:23:46,Masculino,41 a 50 anos,Doutorado,Ciência da Computação,Pública,De 11 a 20 anos,4,Sim,Pouca,"Não, e não gostaria de participar",No mesmo nível que a maioria dos colegas,Raramente,Pouco oportuna,Facilitam o trabalho,São desafios para o professor,"Elaboração de materiais didáticos (slides, textos de apoio, resumos)","Desenvolvimento de Objetos de Aprendizagem utilizando tecnologias/linguagens que ainda não tenho domínio, ou seja, aprender pelos exemplos nas respostas.",Aumentará de forma moderada,Vão ser muito usados em estudo autônomo e EaD,"Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa",Não utilizo IA no ensino,A maioria utiliza algumas vezes por semana,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
26/03/2026 14:09:44,Feminino,41 a 50 anos,Doutorado,Ciência da Computação,Pública,De 11 a 20 anos,5,Sim,Nenhuma,"Sim, mas gostaria de participar mais",No mesmo nível que a maioria dos colegas,Ocasionalmente,Muito oportuna,Facilitam o trabalho,São desafios para o professor,"Elaboração de materiais didáticos (slides, textos de apoio, resumos)",Criar exercícios.,Aumentará de forma significativa,Vão alterar muito o nosso modo de ensino,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, é um problema recorrente",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
20/04/2026 07:59:38,Masculino,31 a 40 anos,Doutorado,Engenharia Elétrica,Pública,De 5 a 10 anos,4,Sim,Nenhuma,"Não, mas gostaria de participar",No mesmo nível que a maioria dos colegas,Com frequência,Oportuna,Facilitam o trabalho,"Obrigam o professor a atualizar-se, São desafios para o professor, Melhoram o trabalho do professor, São uma ameaça ao emprego do professor","Elaboração de materiais didáticos (slides, textos de apoio, resumos), Criação de bancos de questões e exercícios para provas",Auxílio em questionamentos de ordem teórica e prática que eventualmente surgem no desenvolvimento de assuntos a serem ministrados.,Aumentará de forma moderada,"Vão alterar muito o nosso modo de ensino, Vão reduzir muito as aulas presenciais, Vão alterar muito o perfil de competências dos professores, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, é um problema recorrente",A maioria utiliza algumas vezes por semana,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
